source,target,weight,likes_totales,tipo_arista
UCjSKM9j0Q7HLDr1hD6D-TUw,n8iP75gIpmw,1,2,autor_comento_video
UCjZgFEowMBrsjodqfovzdKw,06mFNPU0aB8,1,0,autor_comento_video
UCjZgFEowMBrsjodqfovzdKw,6W4u8sGEnGM,1,0,autor_comento_video
UCjmPuazZJzscrwvk0QR9RVw,n8iP75gIpmw,1,2,autor_comento_video
UCk4O-J1BhoqPmig1KLGJePA,is3Mk5oC19g,1,0,autor_comento_video
UCkVtmkK07b2zaVVNssX4lOg,j43HgwYFKfk,1,0,autor_comento_video
UCkbsS_3D-pvg1iHOld9uvIg,j43HgwYFKfk,1,0,autor_comento_video
UCkd9W714-947dEE6ZOEBATA,n8iP75gIpmw,2,3,autor_comento_video
UCkxdJ_yGN2gghOMo2ybQtXQ,yLZS3JiEBg8,1,1,autor_comento_video
UCl0ekS9Tt0jJGtOEM18S63w,n8iP75gIpmw,1,0,autor_comento_video
UCld2stqxaVSk0QdGncM224A,TT4qJ5FXHYE,1,4,autor_comento_video
UClhMWQ7XKWywYvbRnuf8QsA,j43HgwYFKfk,1,0,autor_comento_video
UCljDbleJul41G1TzOjOZAVA,n8iP75gIpmw,1,1,autor_comento_video
UClqA491Xa5fQcXcJJa-vTWw,j43HgwYFKfk,1,0,autor_comento_video
UClsrFGJKWPxxw7MiaEdKLXw,PjmxCj-a9Hg,1,3,autor_comento_video
UCmjppp6ujz3SAnULvP3sZMw,n8iP75gIpmw,1,0,autor_comento_video
UCmvOgzmmXbjUthHy-WJ52hQ,n8iP75gIpmw,1,1,autor_comento_video
UCnU8wO1OurAmGstDw6VGjgQ,ndAZjHqzzT8,1,0,autor_comento_video
UCoGdCoJg2Lh0OX_jv6cG16g,6W4u8sGEnGM,2,2,autor_comento_video
UColMq7LmaoY3MT6aIDGrGvA,j43HgwYFKfk,1,0,autor_comento_video
UCozFYHN0e_-vlQbX3wQGOug,OkXlHx0hx-8,1,5,autor_comento_video
UCp29O_C7cchZV8IxV7Crdag,6W4u8sGEnGM,2,0,autor_comento_video
UCp4iw5_5SmV9VGTFSNVGOmQ,n8iP75gIpmw,1,0,autor_comento_video
UCpIdtvoFHVLGASGB5ySqIEA,n8iP75gIpmw,1,1,autor_comento_video
UCp_dAUfv8i3LW3zWc24dLaQ,OkXlHx0hx-8,1,1,autor_comento_video
UCpe5jW3MIqkgTJ-PgkzvM6Q,j43HgwYFKfk,1,1,autor_comento_video
UCpl8rF8uv_8uui-QRvuJaRA,n8iP75gIpmw,1,0,autor_comento_video
